<menu>
1|本經逢原小引
2|本經逢原目錄
3|本經逢原卷一
3-1|水部
3-2|火部
3-3|土部
3-4|金部
3-5|石部
3-6|鹵石部
3-7|山草部
4|本經逢原卷二
4-1|芳草部
4-2|隰草部
4-3|毒草部
4-4|蔓草部
4-5|水草部
4-6|石草部
4-7|苔草部
5|本經逢原卷三
5-1|穀部
5-2|菜部
5-3|果部
5-4|水果部
5-5|味部
5-6|香木部
5-7|喬木部
5-8|灌木部
5-9|寓木部
5-10|苞木部
5-11|藏器部
6|本經逄原卷四
6-1|蟲部
6-2|龍蛇部
6-3|魚部
6-4|介部
6-5|禽部
6-6|獸部
6-7|人部
</menu>
